,id,date,time,height,type
0,tide0,2021-04-01,00:37:00,0.39,low
1,tide1,2021-04-01,06:08:00,0.91,high
2,tide2,2021-04-01,12:56:00,0.22,low
3,tide3,2021-04-01,19:06:00,0.99,high
4,tide4,2021-04-02,01:21:00,0.42,low
5,tide5,2021-04-02,06:47:00,0.93,high
6,tide6,2021-04-02,13:41:00,0.19,low
7,tide7,2021-04-02,19:57:00,1.0,high
8,tide8,2021-04-03,02:04:00,0.44,low
9,tide9,2021-04-03,07:27:00,0.95,high
10,tide10,2021-04-03,14:26:00,0.19,low
11,tide11,2021-04-03,20:49:00,0.99,high
12,tide12,2021-04-04,02:45:00,0.46,low
13,tide13,2021-04-04,07:09:00,0.95,high
14,tide14,2021-04-04,14:10:00,0.2,low
15,tide15,2021-04-04,20:39:00,0.96,high
16,tide16,2021-04-05,02:26:00,0.48,low
17,tide17,2021-04-05,07:53:00,0.94,high
18,tide18,2021-04-05,14:53:00,0.22,low
19,tide19,2021-04-05,21:31:00,0.93,high
20,tide20,2021-04-06,03:09:00,0.49,low
21,tide21,2021-04-06,08:41:00,0.91,high
22,tide22,2021-04-06,15:37:00,0.24,low
23,tide23,2021-04-06,22:22:00,0.9,high
24,tide24,2021-04-07,03:57:00,0.5,low
25,tide25,2021-04-07,09:35:00,0.87,high
26,tide26,2021-04-07,16:25:00,0.28,low
27,tide27,2021-04-07,23:17:00,0.87,high
28,tide28,2021-04-08,04:55:00,0.51,low
29,tide29,2021-04-08,10:38:00,0.82,high
30,tide30,2021-04-08,17:21:00,0.31,low
31,tide31,2021-04-09,00:16:00,0.85,high
32,tide32,2021-04-09,06:19:00,0.49,low
33,tide33,2021-04-09,11:55:00,0.78,high
34,tide34,2021-04-09,18:35:00,0.35,low
35,tide35,2021-04-10,01:20:00,0.84,high
36,tide36,2021-04-10,07:52:00,0.45,low
37,tide37,2021-04-10,13:28:00,0.77,high
38,tide38,2021-04-10,20:00:00,0.38,low
39,tide39,2021-04-11,02:19:00,0.84,high
40,tide40,2021-04-11,09:00:00,0.39,low
41,tide41,2021-04-11,14:46:00,0.8,high
42,tide42,2021-04-11,21:16:00,0.39,low
43,tide43,2021-04-12,03:08:00,0.84,high
44,tide44,2021-04-12,09:50:00,0.34,low
45,tide45,2021-04-12,15:47:00,0.85,high
46,tide46,2021-04-12,22:11:00,0.4,low
47,tide47,2021-04-13,03:50:00,0.85,high
