ID,date,time,height,type,location_id,location_name
Tide6894,2021-04-18,6:36,0.33,low,18321,Point Hicks
Tide6895,2021-04-18,12:39,0.82,high,18321,Point Hicks
Tide6896,2021-04-18,18:10,0.54,low,18321,Point Hicks
Tide6897,2021-04-19,0:27,1.11,high,18321,Point Hicks
Tide6898,2021-04-19,7:29,0.37,low,18321,Point Hicks
Tide6899,2021-04-19,13:55,0.84,high,18321,Point Hicks
Tide6900,2021-04-19,19:01,0.62,low,18321,Point Hicks
Tide6901,2021-04-20,1:29,1.14,high,18321,Point Hicks
Tide6902,2021-04-20,8:34,0.41,low,18321,Point Hicks
Tide6903,2021-04-20,15:21,0.91,high,18321,Point Hicks
Tide6904,2021-04-20,20:08,0.69,low,18321,Point Hicks
Tide6905,2021-04-21,2:49,1.2,high,18321,Point Hicks
Tide6906,2021-04-21,9:50,0.42,low,18321,Point Hicks
Tide6907,2021-04-21,16:23,1.03,high,18321,Point Hicks
Tide6908,2021-04-21,21:34,0.71,low,18321,Point Hicks
Tide6909,2021-04-22,4:03,1.29,high,18321,Point Hicks
Tide6910,2021-04-22,10:51,0.4,low,18321,Point Hicks
Tide6911,2021-04-22,17:10,1.15,high,18321,Point Hicks
Tide6912,2021-04-22,22:47,0.67,low,18321,Point Hicks
Tide6913,2021-04-23,5:01,1.38,high,18321,Point Hicks
Tide6914,2021-04-23,11:38,0.37,low,18321,Point Hicks
Tide6915,2021-04-23,17:52,1.26,high,18321,Point Hicks
Tide6916,2021-04-23,23:41,0.58,low,18321,Point Hicks
Tide6917,2021-04-24,5:52,1.45,high,18321,Point Hicks
Tide6918,2021-04-24,12:19,0.34,low,18321,Point Hicks
Tide6919,2021-04-24,18:32,1.34,high,18321,Point Hicks
Tide6920,2021-04-25,0:29,0.47,low,18321,Point Hicks
Tide6921,2021-04-25,6:42,1.47,high,18321,Point Hicks
Tide6922,2021-04-25,13:00,0.31,low,18321,Point Hicks
Tide6923,2021-04-25,19:14,1.39,high,18321,Point Hicks
Tide6924,2021-04-26,1:14,0.35,low,18321,Point Hicks
Tide6925,2021-04-26,7:32,1.46,high,18321,Point Hicks
Tide6926,2021-04-26,13:41,0.29,low,18321,Point Hicks
Tide6927,2021-04-26,19:55,1.42,high,18321,Point Hicks
Tide6928,2021-04-27,2:02,0.25,low,18321,Point Hicks
Tide6929,2021-04-27,8:25,1.4,high,18321,Point Hicks
Tide6930,2021-04-27,14:23,0.28,low,18321,Point Hicks
Tide6931,2021-04-27,20:37,1.42,high,18321,Point Hicks
Tide6932,2021-04-28,2:54,0.16,low,18321,Point Hicks
Tide6933,2021-04-28,9:17,1.3,high,18321,Point Hicks
Tide6934,2021-04-28,15:08,0.29,low,18321,Point Hicks
Tide6935,2021-04-28,21:21,1.4,high,18321,Point Hicks
Tide6936,2021-04-29,3:50,0.09,low,18321,Point Hicks
Tide6937,2021-04-29,10:11,1.19,high,18321,Point Hicks
Tide6938,2021-04-29,15:56,0.31,low,18321,Point Hicks
Tide6939,2021-04-29,22:06,1.37,high,18321,Point Hicks
Tide6940,2021-04-30,4:45,0.06,low,18321,Point Hicks
Tide6941,2021-04-30,11:03,1.07,high,18321,Point Hicks
Tide6942,2021-04-30,16:45,0.34,low,18321,Point Hicks
Tide6943,2021-04-30,22:53,1.32,high,18321,Point Hicks
Tide6944,2021-05-01,5:40,0.07,low,18321,Point Hicks
Tide6945,2021-05-01,11:59,0.97,high,18321,Point Hicks
Tide6946,2021-05-01,17:33,0.39,low,18321,Point Hicks
Tide6947,2021-05-01,23:44,1.28,high,18321,Point Hicks
Tide6948,2021-05-02,6:35,0.12,low,18321,Point Hicks
Tide6949,2021-05-02,13:02,0.9,high,18321,Point Hicks
Tide6950,2021-05-02,18:23,0.46,low,18321,Point Hicks
Tide6951,2021-05-03,0:41,1.24,high,18321,Point Hicks
Tide6952,2021-05-03,7:35,0.19,low,18321,Point Hicks
Tide6953,2021-05-03,14:21,0.89,high,18321,Point Hicks
Tide6954,2021-05-03,19:18,0.54,low,18321,Point Hicks
Tide6955,2021-05-04,1:48,1.22,high,18321,Point Hicks
Tide6956,2021-05-04,8:56,0.27,low,18321,Point Hicks
Tide6957,2021-05-04,15:43,0.95,high,18321,Point Hicks
Tide6958,2021-05-04,20:30,0.61,low,18321,Point Hicks
Tide6959,2021-05-05,3:06,1.23,high,18321,Point Hicks
Tide6960,2021-05-05,10:19,0.33,low,18321,Point Hicks
Tide6961,2021-05-05,16:40,1.04,high,18321,Point Hicks
Tide6962,2021-05-05,22:06,0.64,low,18321,Point Hicks
Tide6963,2021-05-06,4:15,1.27,high,18321,Point Hicks
Tide6964,2021-05-06,11:15,0.38,low,18321,Point Hicks
Tide6965,2021-05-06,17:25,1.14,high,18321,Point Hicks
Tide6966,2021-05-06,23:15,0.62,low,18321,Point Hicks
Tide6967,2021-05-07,5:11,1.31,high,18321,Point Hicks
Tide6968,2021-05-07,11:55,0.43,low,18321,Point Hicks
Tide6969,2021-05-07,18:03,1.23,high,18321,Point Hicks
Tide6970,2021-05-08,0:04,0.58,low,18321,Point Hicks
Tide6971,2021-05-08,6:00,1.32,high,18321,Point Hicks
Tide6972,2021-05-08,12:27,0.48,low,18321,Point Hicks
Tide6973,2021-05-08,18:40,1.29,high,18321,Point Hicks
Tide6974,2021-05-09,0:46,0.54,low,18321,Point Hicks
Tide6975,2021-05-09,6:45,1.3,high,18321,Point Hicks
Tide6976,2021-05-09,12:53,0.5,low,18321,Point Hicks
Tide6977,2021-05-09,19:15,1.33,high,18321,Point Hicks
Tide6978,2021-05-10,1:25,0.5,low,18321,Point Hicks
Tide6979,2021-05-10,7:27,1.25,high,18321,Point Hicks
Tide6980,2021-05-10,13:18,0.51,low,18321,Point Hicks
Tide6981,2021-05-10,19:47,1.34,high,18321,Point Hicks
Tide6982,2021-05-11,2:01,0.45,low,18321,Point Hicks
Tide6983,2021-05-11,8:08,1.18,high,18321,Point Hicks
Tide6984,2021-05-11,13:45,0.5,low,18321,Point Hicks
Tide6985,2021-05-11,20:18,1.33,high,18321,Point Hicks
Tide6986,2021-05-12,2:40,0.39,low,18321,Point Hicks
Tide6987,2021-05-12,8:46,1.1,high,18321,Point Hicks
Tide6988,2021-05-12,14:15,0.48,low,18321,Point Hicks
Tide6989,2021-05-12,20:47,1.29,high,18321,Point Hicks
Tide6990,2021-05-13,3:20,0.34,low,18321,Point Hicks
Tide6991,2021-05-13,9:24,1.01,high,18321,Point Hicks
Tide6992,2021-05-13,14:47,0.46,low,18321,Point Hicks
Tide6993,2021-05-13,21:16,1.26,high,18321,Point Hicks
Tide6994,2021-05-14,4:02,0.29,low,18321,Point Hicks
Tide6995,2021-05-14,10:02,0.94,high,18321,Point Hicks
Tide6996,2021-05-14,15:24,0.45,low,18321,Point Hicks
Tide6997,2021-05-14,21:48,1.22,high,18321,Point Hicks
Tide6998,2021-05-15,4:46,0.25,low,18321,Point Hicks
Tide6999,2021-05-15,10:45,0.88,high,18321,Point Hicks
Tide7000,2021-05-15,16:08,0.46,low,18321,Point Hicks
Tide7001,2021-05-15,22:25,1.19,high,18321,Point Hicks
Tide7002,2021-05-16,5:30,0.22,low,18321,Point Hicks
Tide7003,2021-05-16,11:31,0.84,high,18321,Point Hicks
Tide7004,2021-05-16,16:58,0.48,low,18321,Point Hicks
Tide7005,2021-05-16,23:08,1.17,high,18321,Point Hicks
Tide7006,2021-05-17,6:15,0.23,low,18321,Point Hicks
Tide7007,2021-05-17,12:25,0.83,high,18321,Point Hicks
Tide7008,2021-05-17,17:49,0.53,low,18321,Point Hicks
Tide7009,2021-05-18,0:00,1.16,high,18321,Point Hicks
Tide7010,2021-05-18,7:04,0.25,low,18321,Point Hicks
Tide7011,2021-05-18,13:30,0.87,high,18321,Point Hicks
Tide7012,2021-05-18,18:44,0.58,low,18321,Point Hicks
Tide7013,2021-05-19,0:59,1.17,high,18321,Point Hicks
Tide7014,2021-05-19,8:00,0.3,low,18321,Point Hicks
Tide7015,2021-05-19,14:43,0.94,high,18321,Point Hicks
Tide7016,2021-05-19,19:45,0.63,low,18321,Point Hicks
Tide7017,2021-05-20,2:12,1.21,high,18321,Point Hicks
