id,dateTime,height,type
0,4/1/2021 0:37,0.39,low
1,4/1/2021 6:08,0.91,high
2,4/1/2021 12:56,0.22,low
3,4/1/2021 19:06,0.99,high
4,4/2/2021 1:21,0.42,low
5,4/2/2021 6:47,0.93,high
6,4/2/2021 13:41,0.19,low
7,4/2/2021 19:57,1,high
8,4/3/2021 2:04,0.44,low
9,4/3/2021 7:27,0.95,high
10,4/3/2021 14:26,0.19,low
11,4/3/2021 20:49,0.99,high
12,4/4/2021 2:45,0.46,low
13,4/4/2021 7:09,0.95,high
14,4/4/2021 14:10,0.2,low
15,4/4/2021 20:39,0.96,high
16,4/5/2021 2:26,0.48,low
17,4/5/2021 7:53,0.94,high
18,4/5/2021 14:53,0.22,low
19,4/5/2021 21:31,0.93,high
20,4/6/2021 3:09,0.49,low
21,4/6/2021 8:41,0.91,high
22,4/6/2021 15:37,0.24,low
23,4/6/2021 22:22,0.9,high
24,4/7/2021 3:57,0.5,low
25,4/7/2021 9:35,0.87,high
26,4/7/2021 16:25,0.28,low
27,4/7/2021 23:17,0.87,high
28,4/8/2021 4:55,0.51,low
29,4/8/2021 10:38,0.82,high
30,4/8/2021 17:21,0.31,low
31,4/9/2021 0:16,0.85,high
32,4/9/2021 6:19,0.49,low
33,4/9/2021 11:55,0.78,high
34,4/9/2021 18:35,0.35,low
35,4/10/2021 1:20,0.84,high
36,4/10/2021 7:52,0.45,low
37,4/10/2021 13:28,0.77,high
38,4/10/2021 20:00,0.38,low
39,4/11/2021 2:19,0.84,high
40,4/11/2021 9:00,0.39,low
41,4/11/2021 14:46,0.8,high
42,4/11/2021 21:16,0.39,low
43,4/12/2021 3:08,0.84,high
44,4/12/2021 9:50,0.34,low
45,4/12/2021 15:47,0.85,high
46,4/12/2021 22:11,0.4,low
47,4/13/2021 3:50,0.85,high
48,4/13/2021 10:29,0.3,low
49,4/13/2021 16:36,0.89,high
50,4/13/2021 22:55,0.42,low
51,4/14/2021 4:24,0.86,high
52,4/14/2021 11:03,0.28,low
