id,date,time,height,type
tide0,2021-04-01,0:37:00,0.39,low
tide1,2021-04-01,6:08:00,0.91,high
tide2,2021-04-01,12:56:00,0.22,low
tide3,2021-04-01,19:06:00,0.99,high
tide4,2021-04-02,1:21:00,0.42,low
tide5,2021-04-02,6:47:00,0.93,high
tide6,2021-04-02,13:41:00,0.19,low
tide7,2021-04-02,19:57:00,1,high
tide8,2021-04-03,2:04:00,0.44,low
tide9,2021-04-03,7:27:00,0.95,high
tide10,2021-04-03,14:26:00,0.19,low
tide11,2021-04-03,20:49:00,0.99,high
tide12,2021-04-04,2:45:00,0.46,low
tide13,2021-04-04,7:09:00,0.95,high
tide14,2021-04-04,14:10:00,0.2,low
tide15,2021-04-04,20:39:00,0.96,high
tide16,2021-04-05,2:26:00,0.48,low
tide17,2021-04-05,7:53:00,0.94,high
tide18,2021-04-05,14:53:00,0.22,low
tide19,2021-04-05,21:31:00,0.93,high
tide20,2021-04-06,3:09:00,0.49,low
tide21,2021-04-06,8:41:00,0.91,high
tide22,2021-04-06,15:37:00,0.24,low
tide23,2021-04-06,22:22:00,0.9,high
tide24,2021-04-07,3:57:00,0.5,low
tide25,2021-04-07,9:35:00,0.87,high
tide26,2021-04-07,16:25:00,0.28,low
tide27,2021-04-07,23:17:00,0.87,high
tide28,2021-04-08,4:55:00,0.51,low
tide29,2021-04-08,10:38:00,0.82,high
tide30,2021-04-08,17:21:00,0.31,low
tide31,2021-04-09,0:16:00,0.85,high
tide32,2021-04-09,6:19:00,0.49,low
tide33,2021-04-09,11:55:00,0.78,high
tide34,2021-04-09,18:35:00,0.35,low
tide35,2021-04-10,1:20:00,0.84,high
tide36,2021-04-10,7:52:00,0.45,low
tide37,2021-04-10,13:28:00,0.77,high
tide38,2021-04-10,20:00:00,0.38,low
tide39,2021-04-11,2:19:00,0.84,high
tide40,2021-04-11,9:00:00,0.39,low
tide41,2021-04-11,14:46:00,0.8,high
tide42,2021-04-11,21:16:00,0.39,low
tide43,2021-04-12,3:08:00,0.84,high
tide44,2021-04-12,9:50:00,0.34,low
tide45,2021-04-12,15:47:00,0.85,high
tide46,2021-04-12,22:11:00,0.4,low
tide47,2021-04-13,3:50:00,0.85,high
tide48,2021-04-13,10:29:00,0.3,low
tide49,2021-04-13,16:36:00,0.89,high
tide50,2021-04-13,22:55:00,0.42,low
tide51,2021-04-14,4:24:00,0.86,high
tide52,2021-04-14,11:03:00,0.28,low
tide53,2021-04-14,17:21:00,0.93,high
tide54,2021-04-14,23:33:00,0.44,low
tide55,2021-04-15,4:54:00,0.87,high
tide56,2021-04-15,11:34:00,0.27,low
tide57,2021-04-15,18:00:00,0.96,high
tide58,2021-04-16,0:06:00,0.46,low
tide59,2021-04-16,5:22:00,0.88,high
tide60,2021-04-16,12:06:00,0.26,low
tide61,2021-04-16,18:36:00,0.97,high
tide62,2021-04-17,0:37:00,0.47,low
tide63,2021-04-17,5:51:00,0.9,high
tide64,2021-04-17,12:39:00,0.26,low
tide65,2021-04-17,19:12:00,0.97,high
tide66,2021-04-18,1:07:00,0.49,low
tide67,2021-04-18,6:21:00,0.91,high
tide68,2021-04-18,13:14:00,0.26,low
tide69,2021-04-18,19:47:00,0.96,high
tide70,2021-04-19,1:37:00,0.5,low
tide71,2021-04-19,6:53:00,0.9,high
tide72,2021-04-19,13:49:00,0.26,low
tide73,2021-04-19,20:21:00,0.95,high
tide74,2021-04-20,2:08:00,0.52,low
tide75,2021-04-20,7:27:00,0.89,high
tide76,2021-04-20,14:23:00,0.27,low
tide77,2021-04-20,20:58:00,0.93,high
tide78,2021-04-21,2:41:00,0.53,low
tide79,2021-04-21,8:03:00,0.87,high
tide80,2021-04-21,14:58:00,0.27,low
tide81,2021-04-21,21:37:00,0.9,high
tide82,2021-04-22,3:21:00,0.53,low
tide83,2021-04-22,8:45:00,0.85,high
tide84,2021-04-22,15:37:00,0.29,low
tide85,2021-04-22,22:22:00,0.88,high
tide86,2021-04-23,4:09:00,0.53,low
tide87,2021-04-23,9:41:00,0.82,high
tide88,2021-04-23,16:24:00,0.32,low
tide89,2021-04-23,23:14:00,0.86,high
tide90,2021-04-24,5:11:00,0.51,low
tide91,2021-04-24,10:54:00,0.8,high
tide92,2021-04-24,17:26:00,0.36,low
tide93,2021-04-25,0:10:00,0.86,high
tide94,2021-04-25,6:25:00,0.46,low
tide95,2021-04-25,12:21:00,0.81,high
tide96,2021-04-25,18:43:00,0.41,low
tide97,2021-04-26,1:06:00,0.86,high
tide98,2021-04-26,7:37:00,0.4,low
tide99,2021-04-26,13:50:00,0.85,high
tide100,2021-04-26,20:03:00,0.45,low
tide101,2021-04-27,2:01:00,0.87,high
tide102,2021-04-27,8:43:00,0.32,low
tide103,2021-04-27,15:08:00,0.92,high
