ID,date,time,height,type,location_id,location_name
Tide0,2021-04-01,3:11,2.57,high,11840,Cape Woolamai
Tide1,2021-04-01,9:03,0.26,low,11840,Cape Woolamai
Tide2,2021-04-01,15:54,2.87,high,11840,Cape Woolamai
Tide3,2021-04-01,21:38,0.67,low,11840,Cape Woolamai
Tide4,2021-04-02,3:55,2.6,high,11840,Cape Woolamai
Tide5,2021-04-02,9:48,0.12,low,11840,Cape Woolamai
Tide6,2021-04-02,16:43,2.93,high,11840,Cape Woolamai
Tide7,2021-04-02,22:25,0.68,low,11840,Cape Woolamai
Tide8,2021-04-03,4:38,2.6,high,11840,Cape Woolamai
Tide9,2021-04-03,10:33,0.06,low,11840,Cape Woolamai
Tide10,2021-04-03,17:31,2.92,high,11840,Cape Woolamai
Tide11,2021-04-03,23:10,0.71,low,11840,Cape Woolamai
Tide12,2021-04-04,4:20,2.57,high,11840,Cape Woolamai
Tide13,2021-04-04,10:18,0.08,low,11840,Cape Woolamai
Tide14,2021-04-04,17:17,2.85,high,11840,Cape Woolamai
Tide15,2021-04-04,22:54,0.77,low,11840,Cape Woolamai
Tide16,2021-04-05,5:03,2.51,high,11840,Cape Woolamai
Tide17,2021-04-05,11:04,0.16,low,11840,Cape Woolamai
Tide18,2021-04-05,18:05,2.72,high,11840,Cape Woolamai
Tide19,2021-04-05,23:40,0.84,low,11840,Cape Woolamai
Tide20,2021-04-06,5:47,2.42,high,11840,Cape Woolamai
Tide21,2021-04-06,11:52,0.31,low,11840,Cape Woolamai
Tide22,2021-04-06,18:54,2.56,high,11840,Cape Woolamai
Tide23,2021-04-07,0:28,0.94,low,11840,Cape Woolamai
Tide24,2021-04-07,6:36,2.29,high,11840,Cape Woolamai
Tide25,2021-04-07,12:44,0.49,low,11840,Cape Woolamai
Tide26,2021-04-07,19:50,2.4,high,11840,Cape Woolamai
Tide27,2021-04-08,1:20,1.04,low,11840,Cape Woolamai
Tide28,2021-04-08,7:38,2.16,high,11840,Cape Woolamai
Tide29,2021-04-08,13:40,0.69,low,11840,Cape Woolamai
Tide30,2021-04-08,20:55,2.27,high,11840,Cape Woolamai
Tide31,2021-04-09,2:22,1.12,low,11840,Cape Woolamai
